################################################################################
# $Header$
#
# This file was automatically generated (badly!) from the 'gismu' file
# at ftp://xiron.pc.helsinki.fi/pub/lojban/wordlists.  Uncommenting
# the entries and filling them in is work in progress.  Note that
# quite a lot of the gismu have come out with the wrong numbers of
# places, this has to be manually fixed.
#
# x1 utters verbally/says/phonates/speaks [vocally makes sound] x2                                
bacru1:A;utter
#dunra3:DSAP;
#
# x1 is an elder/ancestor of x2 by bond/tie/degree x3; x1's generation precedes x2's parents      
#dzena1:DSAP;
#dzena2:DSAP;
#
# x1 reflects Antarctican culture/nationality/geography in aspect x2                              
#dzipo1:DSAP;
#dzipo2:DSAP;
#
# x1 discovers/finds out x2 (du'u) about subject/object x3; x1 finds (fi) x3 (object)             
#facki1:DSAP;
#facki2:DSAP;
#facki3:DSAP;
#
# x1 [member] is ordinary/common/typical/usual in property x2 (ka) among members of x3 (set)      
#fadni1:DSAP;
#fadni2:DSAP;
#fadni3:DSAP;
#
# x1 is a fire/flame in fuel x2 burning-in/reacting-with oxidizer x3 (default air/oxygen)         
fagri1:S;fire
fagri2:D;fuel
fagri3:D;oxidizer
#
# x1 is a sail for gathering propelling material x2 on vehicle/motor x3                           
#falnu1:DSAP;
#falnu2:DSAP;
#falnu3:DSAP;
#
# x1 is an aunt/uncle of x2 by bond/tie x3; x1 is an associated member of x2's parent's generation
#famti1:DSAP;
#famti2:DSAP;
#
# x1 is a function/single-valued mapping from domain x2 to range x3 defined by expression/rule x4 
#fancu1:DSAP;
#fancu2:DSAP;
#fancu3:DSAP;
#fancu4:DSAP;
#
# x1 is alien/foreign/[exotic]/unfamiliar to x2 in property x3 (ka)                               
#fange1:DSAP;
#fange2:DSAP;
#fange3:DSAP;
#
# x1 is an end/finish/termination of thing/process x2; [not necessarily implying completeness]    
fanmo1:P;final
fanmo2:D;ending process
#
# x1 is a factory/foundry/industrial plant/mill producing x2 from materials x3                    
#fanri1:DSAP;
#fanri2:DSAP;
#fanri3:DSAP;
#
# x1 prevents/keeps/stops/restrains/constrains event x2 from occurring                            
fanta1:A;prevent
fanta2:D;prevented event
#
# x1 translates text/utterance x2 to language x3 from language x4 with translation result x5      
fanva1:A;translate
fanva2:D;source text* for translation
fanva3:D;target language* for translation
fanva4:D;source language* for translation
fanva5:D;result* of translation
#
# x1 (event) annoys/irritates/bothers/distracts x2                                                
#fanza1:DSAP;
#fanza2:DSAP;
#
# x1 opposes/balances/contends against opponent(s) x2 (person/force ind./mass) about x3 (abstract)
#fapro1:DSAP;
#fapro2:DSAP;
#fapro3:DSAP;
#
# x1 falls/drops to x2 from x3 in gravity well/frame of reference x4                              
#farlu1:DSAP;
#farlu2:DSAP;
#farlu3:DSAP;
#farlu4:DSAP;
#
# x1 is the direction of x2 (object/event) from origin/in frame of reference x3                   
#farna1:DSAP;
#farna2:DSAP;
#farna3:DSAP;
#
# x1 develops/evolves towards/into x2 from x3 through stages x4                                   
#farvi1:DSAP;
#farvi2:DSAP;
#farvi3:DSAP;
#farvi4:DSAP;
#
# x1 (event) is an event that happens/occurs/takes place; x1 is an incident/happening/occurrence  
fasnu1:D;occurrence
fasnu1v:occurring
#
# x1 (du'u) is a fact/reality/truth/actuality, in the absolute                                    
fatci1:D;fact
#
# x1 [sequence] is in reverse order from x2 [sequence]; x1 (object) is inverted from x2 (object)  
#fatne1:DSAP;
#fatne2:DSAP;
#
# x1 is distributed/allotted/allocated/shared among x2 with shares/portions x3; (x2/x3 fa'u)      
#fatri1:DSAP;
#fatri2:DSAP;
#
# x1 boils/evaporates at temperature x2 and pressure x3                                           
#febvi1:DSAP;
#febvi2:DSAP;
#febvi3:DSAP;
#
# x1 is 1x10**-15 of x2 in dimension/aspect x3 (default is units)                                 
#femti1:DSAP;
#femti2:DSAP;
#femti3:DSAP;
#
# x1 (agent) divides/partitions/separates x2 into sections/parts/ind. x3 by method/partition x4   
#fendi1:DSAP;
#fendi2:DSAP;
#fendi3:DSAP;
#fendi4:DSAP;
#
# x1 is angry/mad at x2 for x3 (action/state/property)                                            
#fengu1:DSAP;
#fengu2:DSAP;
#fengu3:DSAP;
#
# x1 (action/event) is crazy/insane/mad/frantic/in a frenzy (one sense) by standard x2            
fenki1:P;crazy
fenki2:D;standard* for craziness
#
# x1 is a crack/fissure/pass/cleft/ravine/chasm/[defect/flaw] [shape/form] in x2                  
#fenra1:DSAP;
#fenra2:DSAP;
#
# x1 sews/stitches/sutures materials x2 (ind./set) together with tool(s) x3, using filament x4    
#fenso1:DSAP;
#fenso2:DSAP;
#fenso3:DSAP;
#fenso4:DSAP;
#
# x1 is measured in kopeck/cent money-subunits as x2 [quantity], in monetary system x3            
#fepni1:DSAP;
#fepni2:DSAP;
#fepni3:DSAP;
#
# x1 is a/the lung [body-part] of x2; [metaphor: breathing/respiratory apparatus/bellows]         
#fepri1:DSAP;
#fepri2:DSAP;
#fepri3:DSAP;
#
# x1 is fertile/conducive for supporting the growth/development of x2; x1 is fruitful/prolific    
ferti1:P;fertile
ferti2:P;having growth encouraged
#
# x1(s) is/are waste product(s) [left to waste] by x2 (event/activity)                            
#festi1:DSAP;
#festi2:DSAP;
#
# x1 is a female/doe of species x2 evidencing feminine trait(s) x3 (ka); x1 is feminine           
#fetsi1:DSAP;
#fetsi2:DSAP;
#fetsi3:DSAP;
#
# x1 is a fig [fruit/tree] of species/strain x2                                                   
#figre1:DSAP;
#figre2:DSAP;
#
# x1 reflects Palestinian culture/nationality in aspect x2                                        
#filso1:DSAP;
#filso2:DSAP;
#
# x1 is a fish of species x2 [metaphorical extension to sharks, non-fish aquatic vertebrates]     
#finpe1:DSAP;
#finpe2:DSAP;
#
# x1 invents/creates/composes/authors x2 for function/purpose x3 from existing elements/ideas x4  
finti1:A;create
finti2:D;creation
finti3:S;purpose of creation
finti4:S;elements in creation
#
# x1 is a law specifying x2 (state/event) for community x3 under conditions x4 by lawgiver(s) x5  
#flalu1:DSAP;
#flalu2:DSAP;
#flalu3:DSAP;
#flalu4:DSAP;
#flalu5:DSAP;
#
# x1 is a flute/pipe/fife/recorder [flute-like/air-reed musical instrument]                       
#flani1:DSAP;
#flani2:DSAP;
#flani3:DSAP;
#flani4:DSAP;
#flani5:DSAP;
#
# x1 is a current/flow/river of/in x2 flowing in direction to/towards x3 from direction/source x4 
#flecu1:DSAP;
#flecu2:DSAP;
#flecu3:DSAP;
#flecu4:DSAP;
#
# x1 fails at doing x2 (state/event); x1 is a failure at its role in x2                           
#fliba1:DSAP;
#fliba2:DSAP;
#
# x1 is a/the face [head/body-part] of x2; (adjective:) x1 is facial                              
#flira1:DSAP;
#
# x1 is a field [shape/form] of material x2; x1 is a broad uniform expanse of x2                  
#foldi1:DSAP;
#foldi2:DSAP;
#
# x1 is a quantity of foam/froth/suds of material x2, with bubbles/vacuoles of material x3        
#fonmo1:DSAP;
#fonmo2:DSAP;
#fonmo3:DSAP;
#
# x1 is a telephone transceiver/modem attached to system/network x2                               
#fonxa1:DSAP;
#fonxa2:DSAP;
#
# x1 is a fork/fork-type tool/utensil for purpose x2 with tines/prongs x3 on base/support x4      
#forca1:DSAP;
#forca2:DSAP;
#forca3:DSAP;
#forca4:DSAP;
#
# x1 reflects French/Gallic culture/nationality/language in aspect x2                             
#fraso1:DSAP;
#fraso2:DSAP;
#
# x1 reacts/responds/answers with action x2 to stimulus x3 under conditions x4; x1 is responsive  
#frati1:DSAP;
#frati2:DSAP;
#frati3:DSAP;
#
# x1 forgives x2 for event/state/activity x3                                                      
fraxu1:A;forgive
fraxu2:A;receive forgiveness
fraxu3:P;forgiven
#
# x1 differs/is distinct from/contrasts with/is unlike x2 in property/dimension/quantity x3       
#frica1:DSAP;
#frica2:DSAP;
#frica3:DSAP;
#
# x1 reflects African culture/nationality/geography in aspect x2                                  
#friko1:DSAP;
#friko2:DSAP;
#
# x1 (action) is easy/simple/facile for x2 (agent) under conditions x3; x2 does x1 freely/easily  
frili1:P;easy
frili2:D;person* for whom easy
frili3:D;condition* for ease
#
# x1 is a fraction, with numerator x2, denominator x3 (x2/x3)                                     
#frinu1:DSAP;
#frinu2:DSAP;
#frinu3:DSAP;
#
# x1 offers/proffers x2 [offering] to x3 with conditions x4                                       
#friti1:DSAP;
#friti2:DSAP;
#friti3:DSAP;
#friti4:DSAP;
#
# x1 frowns/grimaces (facial expression)                                                          
#frumu1:DSAP;
#frumu2:DSAP;
#frumu3:DSAP;
#frumu4:DSAP;
#
# x1 is a copy/replica/duplicate/clone of x2 in form/medium x3 made by method x4 (event)          
#fukpi1:DSAP;
#fukpi2:DSAP;
#fukpi3:DSAP;
#fukpi4:DSAP;
#
# x1 (passive) floats on/in fluid (gas/liquid) x2; x1 is buoyant                                  
#fulta1:DSAP;
#
# x1 (event/property) is determined by the luck/fortune of x2; (note mabla/zabna not implied)     
#funca1:DSAP;
#
# x1 rots/decays/ferments with decay/fermentation agent x2; x1 is rotten/decayed/fermented        
#fusra1:DSAP;
#
# x1 is responsible/accountable for x2 (action/resulting state) to judge/authority x3             
#fuzme1:DSAP;
#fuzme2:DSAP;
#fuzme3:DSAP;
#
# x1 is a cover/[lid/top] for covering/concealing/sheltering x2                                   
#gacri1:DSAP;
#gacri2:DSAP;
#
# x1 is an article/descriptor labelling description x2 (text) in language x3 with semantics x4    
#gadri1:DSAP;
#gadri2:DSAP;
#gadri3:DSAP;
#gadri4:DSAP;
#
# x1 (event) modifies/alters/changes/transforms/converts x2 into x3                               
#galfi1:DSAP;
#galfi2:DSAP;
#galfi3:DSAP;
#
# x1 is high/up/upward in frame of reference x2 as compared with baseline/standard height x3      
#galtu1:DSAP;
#galtu2:DSAP;
#galtu3:DSAP;
#
# x1 is a/the throat/gullet [body-part] of x2; [metaphor: narrow(ing) opening of a deep hole]     
#galxe1:DSAP;
#galxe2:DSAP;
#galxe3:DSAP;
#
# x1 (portal/passage/entrance-way) is closed/shut/not open, preventing passage/access to x2 by x3 
#ganlo1:DSAP;
#ganlo2:DSAP;
#ganlo3:DSAP;
#
# x1 is broad/wide in dimension x2 [2nd most significant dimension] by standard x3                
#ganra1:DSAP;
#ganra2:DSAP;
#ganra3:DSAP;
#
# x1 [observer] senses/detects/notices stimulus property x2 (ka) by means x3 under conditions x4  
#ganse1:DSAP;
#ganse2:DSAP;
#ganse3:DSAP;
#ganse4:DSAP;
#
# x1 is a/the testes/ovary/testicle/scrotum/balls/gonad/stamen/pistil [body-part] of x2, gender x3
#ganti1:DSAP;
#ganti2:DSAP;
#ganti3:DSAP;
#ganti4:DSAP;
#
# x1 is a/the anus/anal orifice/asshole/arsehole [body-part] of x2; [metaphor: exit, waste exit]  
#ganxo1:DSAP;
#ganxo2:DSAP;
#ganxo3:DSAP;
#ganxo4:DSAP;
#
# x1 organizes x2 [relative chaos] into x3 [ordered/organized result] by system/principle(s) x4   
#ganzu1:DSAP;
#ganzu2:DSAP;
#ganzu3:DSAP;
#ganzu4:DSAP;
#
# x1 is gaseous/fumes/a gas/vapor of material/composition including x2, under conditions x3       
#gapci1:DSAP;
#gapci2:DSAP;
#gapci3:DSAP;
#
# x1 is directly/vertically above/upwards-from x2 in gravity/frame of reference x3                
#gapru1:DSAP;
#gapru2:DSAP;
#gapru3:DSAP;
#
# x1 is a rail/railing/bar [tool] supporting/restraining x2, of material x3                       
#garna1:DSAP;
#garna2:DSAP;
#garna3:DSAP;
#
# x1 [person/agent] is an agentive cause of event x2; x1 does/brings about x2                     
#gasnu1:DSAP;
#gasnu2:DSAP;
#
# x1 is a quantity of/is made of/contains steel of composition including x2                       
#gasta1:DSAP;
#gasta2:DSAP;
#
# x1 is a root [body-part] of plant/species x2; [metaphor: immobile, supporting, nourishing]      
#genja1:DSAP;
#genja2:DSAP;
#
# x1 reflects Argentinian culture/nationality in aspect x2                                        
#gento1:DSAP;
#gento2:DSAP;
#
# x1 is a hook/crook [shape/form] of material x2                                                  
#genxu1:DSAP;
#genxu2:DSAP;
#
# x1 is a dog/canine/[bitch] of species/breed x2                                                  
gerku1:D;dog
gerku2:D;dog breed
#
# x1 is the grammar/rules/defining form of language x2 for structure/text x3                      
#gerna1:DSAP;
#gerna2:DSAP;
#gerna3:DSAP;
#
# x1 (person/object/event) guides/conducts/pilots/leads x2 (active participants) in/at x3 (event) 
#gidva1:DSAP;
#gidva2:DSAP;
#gidva3:DSAP;
#
# x1 is a billion [British milliard] [1x10**9] of x2 in dimension/aspect x3 (default is units)    
#gigdo1:DSAP;
#gigdo2:DSAP;
#gigdo3:DSAP;
#
# x1 is a camp/encampment/temporary residence of x2 at location x3                                
#ginka1:DSAP;
#ginka2:DSAP;
#ginka3:DSAP;
#
# x1 is group/cluster/team showing common property (ka) x2 due to set x3 linked by relations x4   
#girzu1:DSAP;
#girzu2:DSAP;
#girzu3:DSAP;
#girzu4:DSAP;
#
# x1 is a (Lojban) root word expressing relation x2 among argument roles x3, with affix(es) x4    
#gismu1:DSAP;
#gismu2:DSAP;
#gismu3:DSAP;
#gismu4:DSAP;
#
# x1 is hot/[warm] by standard x2                                                                 
#glare1:DSAP;
#glare2:DSAP;
#
# x1 is happy/gay/merry/glad/gleeful about x2 (event/state)                                       
gleki1:P;happy
gleki2:D;subject* of happiness
#
# x1 copulates/fucks/mates/has coitus/sexual intercourse with x2                                  
gletu1:A;copulate
gletu2:A;copulate
#
# x1 is English/pertains to English-speaking culture in aspect x2                                 
glico1:P;English
glico2:D;English aspect
#
# x1 is a mitten/glove [hand and lower arm garment] of material x2                                
#gluta1:DSAP;
#gluta2:DSAP;
#
# x1 is 1x10**-24 of x2 in dimension/aspect x3 (default is units)                                 
#gocti1:DSAP;
#gocti2:DSAP;
#gocti3:DSAP;
#
# x1 is 1x10**24 of x2 in dimension/aspect x3 (default is units)                                  
#gotro1:DSAP;
#gotro2:DSAP;
#gotro3:DSAP;
#
# x1 [magnitude] is a unit/degree of/on scale/reference standard x2 (si'o) measuring property x3  
#gradu1:DSAP;
#gradu2:DSAP;
#gradu3:DSAP;
#
# x1 is x2 gram(s) [metric unit] in mass (default is 1) by standard x3                            
#grake1:DSAP;
#grake2:DSAP;
#grake3:DSAP;
#
# x1 is a rod/pole/staff/stick/cane [shape/form] of material x2                                   
grana1:D;rod*/pole*
grana2:S;rod material
#
# x1 is a quantity of/is made of/contains grease/fat/oil from source x2                           
#grasu1:DSAP;
#grasu2:DSAP;
#
# x1 is a frame/structure/skeleton/outline supporting/load-bearing/determining the form of x2     
#greku1:DSAP;
#greku2:DSAP;
#
# x1 is gray [color adjective]                                                                    
#grusi1:DSAP;
#grusi2:DSAP;
#
# x1 is a fruit [body-part] of species x2                                                         
grute1:D;fruit
grute2:S;fruit species
#
# x1 is public/un-hidden/open/jointly available to/owned by all among community x2 (mass)         
#gubni1:DSAP;
#gubni2:DSAP;
#
# x1 is the country of peoples x2 with land/territory x3; (people/territory relationship)         
gugde1:D;country
gugde2:D;people* of country
gugde3:D;land*/territory*
#
# x1 is industry/industrial/systematic manufacturing activity producing x2 by process/means x3    
#gundi1:DSAP;
#gundi2:DSAP;
#gundi3:DSAP;
#
# x1 [person] labors/works on/at x2 [activity] with goal/objective x3                             
#gunka1:DSAP;
#gunka2:DSAP;
#gunka3:DSAP;
#
# x1 is a mass/team/aggregate/whole, together composed of components x2, considered jointly       
#gunma1:DSAP;
#gunma2:DSAP;
#gunma3:DSAP;
#
# x1 rolls/trundles on/against surface x2 rotating on axis/axle x3; x1 is a roller                
#gunro1:DSAP;
#gunro2:DSAP;
#
# x1 is a goose/[gander] of species/breed x2                                                      
#gunse1:DSAP;
#gunse2:DSAP;
#
# x1 (person/mass) attacks/invades/commits aggression upon victim x2 with goal/objective x3       
#gunta1:DSAP;
#gunta2:DSAP;
#gunta3:DSAP;
#
# x1 is grain/[British: corn]/cereal from plant/species x2                                        
#gurni1:DSAP;
#gurni2:DSAP;
#
# x1 blade/scraper/erosive scrapes/erodes/abrades x2 from x3                                      
#guska1:DSAP;
#guska2:DSAP;
#guska3:DSAP;
#
# x1 [energy] is light/illumination illuminating x2 from light source x3                          
gusni1:S;light
gusni2:P;illuminated
gusni3:D;light source
#
# x1 is a restaurant/cafe/diner serving type-of-food x2 to audience x3                            
#gusta1:DSAP;
#gusta2:DSAP;
#gusta3:DSAP;
#
# x1 is x2 (default 1) short local distance unit(s) [non-metric], standard x3, x4 subunits        
#gutci1:DSAP;
#gutci2:DSAP;
#gutci3:DSAP;
#gutci4:DSAP;
#
# x1 is a/the womb/uterus [body-part] of x2; [metaphor: nourishing, protective, giving birth]     
#gutra1:DSAP;
#gutra2:DSAP;
#gutra3:DSAP;
#gutra4:DSAP;
#
# x1 is a melon/squash [fruit/plant] of species/strain x2                                         
#guzme1:DSAP;
#guzme2:DSAP;
#
# x1 brakes/causes to slow motion/activity x2 with device/mechanism/principle x3                  
#jabre1:DSAP;
#jabre2:DSAP;
#jabre3:DSAP;
#
# x1 (object) adorns/decorates x2; x1 is an adornment/decoration of x2; x2 is fancy/decorated     
#jadni1:DSAP;
#jadni2:DSAP;
#
# x1 is a rocket [vehicle] propelled by jet expelling x2 carrying payload x3                      
#jakne1:DSAP;
#jakne2:DSAP;
#jakne3:DSAP;
#
# x1 (action/event/state) is a result/outcome/conclusion of antecedent x2 (event/state/process)   
#jalge1:DSAP;
#jalge2:DSAP;
#
# x1 is a quantity of/contains/is made of starch from source x2 of composition including x3       
#jalna1:DSAP;
#jalna2:DSAP;
#jalna3:DSAP;
#
# x1 is a cockroach/[orthopteran/termite] of order/species/breed x2                               
#jalra1:DSAP;
#jalra2:DSAP;
#
# x1 is a/the foot [body-part] of x2; [metaphor: lowest portion] (adjective:) x1 is pedal         
#jamfu1:DSAP;
#
# x1 (person/mass) wars against x2 over territory/matter x3; x1 is at war with x2                 
#jamna1:DSAP;
#jamna2:DSAP;
#
# x1 is a bell/chime/[tuning fork] [tuned percussion instrument] producing sound/note x2          
#janbe1:DSAP;
#janbe2:DSAP;
#
# x1 is a/the shoulder/hip/joint [body-part] attaching limb/extremity x2 to body x3               
#janco1:DSAP;
#janco2:DSAP;
#janco3:DSAP;
#
# x1 collides with/crashes/bumps/runs into x2                                                     
#janli1:DSAP;
#janli2:DSAP;
#
# x1 is a diplomat/consul representing polity x2 in/at negotiation x3 for function/purpose x4     
#jansu1:DSAP;
#jansu2:DSAP;
#jansu3:DSAP;
#jansu4:DSAP;
#
# x1 is an account/bill/invoice for goods/services x2, billed to x3 by x4                         
#janta1:DSAP;
#janta2:DSAP;
#janta3:DSAP;
#janta4:DSAP;
#
# x1 is a suburban area of city/metropolis x2                                                     
#jarbu1:DSAP;
#jarbu2:DSAP;
#
# x1 (agent) shows/exhibits/displays/[reveals]/demonstrates x2 (property) to audience x3          
jarco1:A;show*/display*
jarco2:D;shown property
jarco3:S;audience of display
#
# x1 is narrow in dimension x2 [2nd most significant dimension] by standard x3                    
#jarki1:DSAP;
#jarki2:DSAP;
#jarki3:DSAP;
#
# x1 is a passport issued to x2 (person) by authority x3 allowing x4 (activity)                   
#jaspu1:DSAP;
#jaspu2:DSAP;
#jaspu3:DSAP;
#jaspu4:DSAP;
#
# x1 is captain/commander/leader/in-charge/boss of vehicle/domain x2                              
#jatna1:DSAP;
#jatna2:DSAP;
#
# x1 is a rule prescribing/mandating/requiring x2 (event/state) within system/community x3        
#javni1:DSAP;
#javni2:DSAP;
#javni3:DSAP;
#
# x1 is a bomb/explosive device with explosive material/principle x2                              
#jbama1:DSAP;
#jbama2:DSAP;
#
# x1 is a berry (fruit/plant) of plant/species x2                                                 
#jbari1:DSAP;
#jbari2:DSAP;
#
# x1 is born to x2 at time x3 [birthday] and place x4 [birthplace]; x1 is native to (fo) x4       
jbena1:P;born
jbena2:A;give* birth
jbena3:D;time* of birth
jbena4:D;place* of birth
#
# x1 (agent) borrows/temporarily takes/assumes x2 (object) from source x3 for interval x4         
#jbera1:DSAP;
#jbera2:DSAP;
#jbera3:DSAP;
#jbera4:DSAP;
#
# x1 is between/among set of points/bounds/limits x2 (set)/amidst mass x2 in property x3 (ka)     
#jbini1:DSAP;
#jbini2:DSAP;
#jbini3:DSAP;
#
# x1 is firm/hard/resistant/unyielding to force x2 under conditions x3                            
#jdari1:DSAP;
#jdari2:DSAP;
#jdari3:DSAP;
#
# x1 (person) decides/makes decision x2 (du'u) about matter x3 (event/state)                      
#jdice1:DSAP;
#jdice2:DSAP;
#jdice3:DSAP;
#
# x1 (experiencer) decreases/contracts/is reduced/diminished in property/quantity x2 by amount x3 
#jdika1:DSAP;
#jdika2:DSAP;
#jdika3:DSAP;
#
# x1 [amount] is the price of x2 to purchaser/consumer x3 set by vendor x4                        
#jdima1:DSAP;
#jdima2:DSAP;
#jdima3:DSAP;
#jdima4:DSAP;
#
# x1 is money/currency issued by x2; (adjective:) x1 is financial/monetary/pecuniary/fiscal       
#jdini1:DSAP;
#
# x1 is a quantity of jelly/semisolid [texture] of material/composition including x2              
#jduli1:DSAP;
#jduli2:DSAP;
#
# x1 is a polity/state governing territory/domain x2; [government/territory relationship]         
#jecta1:DSAP;
#jecta2:DSAP;
#
# x1 is x2 weeks in duration (default is 1 week) by standard x3                                   
#jeftu1:DSAP;
#jeftu2:DSAP;
#jeftu3:DSAP;
#
# x1 pertains to the common Judeo-Christian-Moslem culture/religion/nationality in aspect x2      
#jegvo1:DSAP;
#jegvo2:DSAP;
#
# x1 burns/[ignites/is flammable/inflammable] at temperature x2 in atmosphere x3                  
#jelca1:DSAP;
#jelca2:DSAP;
#jelca3:DSAP;
#
# x1 is a gem/polished stone/pearl of type x2 from gemstone/material/source x3                    
#jemna1:DSAP;
#jemna2:DSAP;
#jemna3:DSAP;
#
# x1 (event) shocks/stuns x2                                                                      
#jenca1:DSAP;
#jenca2:DSAP;
#
# x1 is an axle/spindle [tool] on which x2 rotates, of material/properties x3                     
#jendu1:DSAP;
#jendu2:DSAP;
#jendu3:DSAP;
#
# x1 (mass) is an army serving group/community x2 (mass) in function x3 (activity)                
#jenmi1:DSAP;
#jenmi2:DSAP;
#jenmi3:DSAP;
#
# x1 (agent/person) earns/[deserves/merits] wages/salary/pay x2 for work/service x3 (activity)    
#jerna1:DSAP;
#jerna2:DSAP;
#jerna3:DSAP;
#
# x1 chases/pursues/(physically) follows after x2; volition is not implied for x1 or x2           
#jersi1:DSAP;
#jersi2:DSAP;
#
# x1 reflects Algerian culture/nationality in aspect x2                                           
#jerxo1:DSAP;
#jerxo2:DSAP;
#
# x1 is a needle [pointed shape/form, not tool] of material x2                                    
#jesni1:DSAP;
#jesni2:DSAP;
#
# x1 is a jet [expelled stream] of material x2 expelled from x3                                   
#jetce1:DSAP;
#jetce2:DSAP;
#jetce3:DSAP;
#
# x1 (du'u) is true/truth by standard/epistemology/metaphysics x2                                 
jetnu1:P;true
jetnu2:D;standard* for truth
#
# x1 is a/the claw/nail/talon [body-part] of x2; [metaphor: pointed, penetrating, physical weapon]
#jgalu1:DSAP;
#jgalu2:DSAP;
#
# x1 is an angle [2-dimensional shape/form] from vertex x2 subtended by lateral [segment] x3      
#jganu1:DSAP;
#jganu2:DSAP;
#jganu3:DSAP;
#
# x1 grasps/holds/clutches/seizes/grips/[hugs] x2 with x3 (part of x1) at locus x4 (part of x2)   
#jgari1:DSAP;
#jgari2:DSAP;
#jgari3:DSAP;
#jgari4:DSAP;
#
# x1 is a knot/tangle in/between x2 (object/jo'u-objects)                                         
#jgena1:DSAP;
#jgena2:DSAP;
#
# x1 is a gene of creature [or locus on creature] x2 determining trait/process x3                 
#jgina1:DSAP;
#jgina2:DSAP;
#jgina3:DSAP;
#
# x1 (person) feels/has pride in/about x2 (abstraction)                                           
#jgira1:DSAP;
#jgira2:DSAP;
#
# x1 is guitar/violin/fiddle/harp [stringed musical instrument] with actuator/plectrum/bow x2     
#jgita1:DSAP;
#jgita2:DSAP;
#
# x1 is near/close to/approximates x2 in property/quantity x3 (ka/ni)                             
#jibni1:DSAP;
#jibni2:DSAP;
#jibni3:DSAP;
#
# x1 is a job/occupation/employment/vocation (a type of work regularly done for pay) of person x2 
#jibri1:DSAP;
#jibri2:DSAP;
#
# x1 (object, or event: force) stirs/mixes/[roils/agitates] fluid (gas/liquid) x2                 
#jicla1:DSAP;
#jicla2:DSAP;
#
# x1 is a basis/foundation/underlying or fundamental principle of x2; x1 is at the bottom of x2   
#jicmu1:DSAP;
#jicmu2:DSAP;
#
# x1 (person) intuits x2 (du'u) about subject x3; [epistemology]                                  
#jijnu1:DSAP;
#jijnu2:DSAP;
#
# x1 interacts/behaves socially with x2; x1 socializes with/is sociable towards x2                
#jikca1:DSAP;
#jikca2:DSAP;
#
# x1 is made of/contains/is a quantity of liquor/spirits distilled from x2                        
#jikru1:DSAP;
#jikru2:DSAP;
#
# x1 is a quantity of/contains/is made of alkali/base of composition including x2                 
#jilka1:DSAP;
#jilka2:DSAP;
#
# x1 (person) is jealous of/envies x2 (person) about/for x3 (property - ka)                       
#jilra1:DSAP;
#jilra2:DSAP;
#jilra3:DSAP;
#
# x1 is a branch/bough/limb of x2; x2 forks into branches x1; [preferred over metaphorical birka] 
#jimca1:DSAP;
#jimca2:DSAP;
#
# x1 understands/comprehends fact/truth x2 (du'u) about subject x3; x1 understands (fi) x3        
jimpe1:A;understand
jimpe2:D;understood fact
jimpe3:D;understood subject
#
# x1 is a limit/extreme/bound/border/[confinement] of x2 in property/domain x3                    
#jimte1:DSAP;
#jimte2:DSAP;
#jimte3:DSAP;
#
# x1 is a pair of shears/scissors for cutting x2                                                  
#jinci1:DSAP;
#jinci2:DSAP;
#
# x1 (person/team) wins/gains prize x2 from/over x3 [competitors/losers] in competition x4        
#jinga1:DSAP;
#jinga2:DSAP;
#jinga3:DSAP;
#jinga4:DSAP;
#
# x1 is a vaccine/immune-system stimulant protecting x2 against disease x3 introduced by method x4
#jinku1:DSAP;
#jinku2:DSAP;
#jinku3:DSAP;
#
# x1 is a quantity of/contains/is made of made of metal of composition including x2               
#jinme1:DSAP;
#jinme2:DSAP;
#
# x1 (object/person) is immersed/submerged/bathes in liquid x2                                    
#jinru1:DSAP;
#jinru2:DSAP;
#
# x1 (object) is clean/pure of material/contaminant/dirt x2 by standard x3                        
#jinsa1:DSAP;
#jinsa2:DSAP;
#jinsa3:DSAP;
#
# x1 is a well/spring of fluid x2 at location x3                                                  
#jinto1:DSAP;
#jinto2:DSAP;
#jinto3:DSAP;
#
# x1 thinks/opines x2 [opinion] (du'u) is true about subject/issue x3 on grounds x4               
jinvi1:A;have* opinion
jinvi2:D;opinion
jinvi3:D;subject* of opinion
jinvi4:S;grounds for opinion
#
# x1 (property - ka) is an innate/inherent/intrinsic/natural property/quality/aspect of x2        
#jinzi1:DSAP;
#jinzi2:DSAP;
#
# x1 is a chicken/[hen/cock/rooster]/small fowl [a type of bird] of species/breed x2              
#jipci1:DSAP;
#jipci2:DSAP;
#
# x1 is a tip/point/vertex/extremity/end [0-dimension shape/form] on object x2 at locus x3        
#jipno1:DSAP;
#jipno2:DSAP;
#jipno3:DSAP;
#
# x1 is a/the horn [body-part] of x2; [metaphor: pointed extremity]                               
#jirna1:DSAP;
#jirna2:DSAP;
#jirna3:DSAP;
#
# x1 is made of/contains/is a quantity of juice/nectar from-source/of-type x2                     
#jisra1:DSAP;
#jisra2:DSAP;
#
# x1 (du'u) is false/is an untruth by standard/epistemology/metaphysics x2                        
#jitfa1:DSAP;
#jitfa2:DSAP;
#
# x1 has control over/harnesses/manages/directs/conducts x2 in x3 (activity/event/performance)    
jitro1:A;control
jitro2:P;under control
jitro3:D;controlled activity
#
# x1 weaves x2 from material/[yarn] x3                                                            
#jivbu1:DSAP;
#jivbu2:DSAP;
#jivbu3:DSAP;
#
# x1 competes/vies with opponent x2 in contest/competition x3 (event) for gain x4; x1 rivals x2   
#jivna1:DSAP;
